short_name,player_positions,overall,potential,value_eur,value_log10,club_contract_valid_until,years_left,age,weak_foot,international_reputation,pace,shooting,passing,dribbling,defending,physic,attacking_finishing,attacking_heading_accuracy,attacking_volleys,power_shot_power,power_long_shots,skill_ball_control,mentality_positioning
J. Scrimshaw,"ST, LW",60,70,550000.0,5.740362689494244,2022.0,1.0,20,3,1,76.0,59.0,46.0,60.0,23.0,64.0,61,54,55,60,55,59,61
R. Raposo,"LM, RM, ST",60,66,400000.0,5.6020599913279625,2021.0,0.0,22,2,1,71.0,56.0,55.0,66.0,36.0,43.0,59,37,56,55,49,66,56
C. Lungoyi,"ST, LW",60,74,600000.0,5.778151250383644,2023.0,2.0,20,3,1,90.0,53.0,49.0,65.0,24.0,63.0,57,50,46,53,45,61,61
J. Gullan,"ST, LM",60,68,550000.0,5.740362689494244,2022.0,1.0,21,4,1,71.0,61.0,50.0,58.0,23.0,63.0,61,54,53,74,53,56,57
C. Harper,"RM, ST",60,77,625000.0,5.795880017344075,2024.0,3.0,19,3,1,86.0,56.0,48.0,64.0,21.0,46.0,60,43,43,58,50,61,57
F. Pemi Moumbagna,ST,60,70,550000.0,5.740362689494244,2022.0,1.0,21,3,1,80.0,56.0,48.0,58.0,25.0,58.0,59,55,47,55,54,57,60
Hong Si Hoo,"ST, LW",60,75,600000.0,5.778151250383644,2022.0,1.0,20,3,1,76.0,59.0,56.0,63.0,29.0,57.0,60,44,58,68,50,60,60
G. Mollo,ST,60,68,550000.0,5.740362689494244,2022.0,1.0,20,2,1,61.0,63.0,47.0,57.0,32.0,58.0,67,56,45,64,60,58,59
Marcos Celorrio,"ST, LM",60,66,400000.0,5.6020599913279625,2021.0,0.0,24,3,1,72.0,58.0,45.0,58.0,19.0,61.0,61,54,46,58,55,59,60
M. Thompson,"ST, RM",60,72,600000.0,5.778151250383644,2022.0,1.0,19,3,1,66.0,59.0,48.0,58.0,26.0,53.0,60,63,52,61,58,62,59
O. Maritu,ST,60,67,500000.0,5.698970004336019,2025.0,4.0,21,3,1,71.0,60.0,35.0,54.0,18.0,58.0,66,58,50,59,50,56,58
D. Willms,"ST, LM",60,68,550000.0,5.740362689494244,2022.0,1.0,22,3,1,86.0,56.0,53.0,63.0,40.0,62.0,60,45,51,57,50,59,60
D. Miculescu,"LM, RM, ST",60,69,550000.0,5.740362689494244,2022.0,1.0,20,3,1,70.0,59.0,52.0,61.0,34.0,68.0,62,57,43,60,60,60,56
Novoa,ST,60,78,625000.0,5.795880017344075,2022.0,1.0,18,3,1,54.0,63.0,45.0,62.0,22.0,45.0,68,63,47,62,58,62,60
P. Oro,ST,60,76,625000.0,5.795880017344075,2023.0,2.0,18,3,1,66.0,62.0,49.0,64.0,23.0,48.0,62,47,58,65,59,62,59
F. Mwepu,ST,60,69,550000.0,5.740362689494244,2022.0,1.0,21,3,1,82.0,60.0,41.0,61.0,23.0,54.0,65,57,45,58,55,58,54
A. Odubeko,ST,60,78,625000.0,5.795880017344075,2022.0,1.0,18,3,1,74.0,59.0,45.0,56.0,23.0,55.0,62,58,57,58,55,56,59
R. Korboa,"RW, LW, ST",60,63,325000.0,5.511883360978874,2022.0,1.0,24,3,1,84.0,54.0,52.0,62.0,48.0,56.0,54,42,50,57,53,59,56
T. Arokodare,ST,60,70,550000.0,5.740362689494244,2023.0,2.0,20,3,1,51.0,61.0,43.0,52.0,26.0,71.0,64,68,58,65,53,56,55
Unai Arieta,ST,60,71,550000.0,5.740362689494244,2022.0,1.0,22,3,1,73.0,60.0,42.0,63.0,19.0,46.0,67,62,44,54,56,58,56
M. Córdoba,ST,60,70,550000.0,5.740362689494244,2022.0,1.0,22,3,1,66.0,58.0,57.0,61.0,29.0,63.0,59,60,59,57,58,60,62
K. Sène,"RM, ST",60,76,650000.0,5.812913356642856,2022.0,1.0,20,3,1,84.0,57.0,49.0,62.0,23.0,46.0,60,40,43,72,38,62,62
D. Mukuna-Trouet,ST,60,74,600000.0,5.778151250383644,2022.0,1.0,19,2,1,73.0,55.0,42.0,59.0,24.0,61.0,62,62,54,59,38,61,54
E. Gedikli,ST,60,79,625000.0,5.795880017344075,2022.0,1.0,18,3,1,61.0,60.0,47.0,56.0,24.0,54.0,66,65,55,62,49,60,61
Salazar,ST,60,80,675000.0,5.829303772831025,2022.0,1.0,18,3,1,53.0,64.0,45.0,60.0,20.0,48.0,70,59,44,60,58,60,61
J. Stretton,ST,60,72,600000.0,5.778151250383644,2022.0,1.0,19,3,1,66.0,62.0,42.0,57.0,25.0,51.0,66,58,50,61,54,58,63
M. Pagliuca,ST,60,77,650000.0,5.812913356642856,2022.0,1.0,19,4,1,65.0,59.0,52.0,61.0,22.0,59.0,61,60,47,59,56,61,61
T. Nishino,"ST, LM",60,73,575000.0,5.7596678446896306,2022.0,1.0,18,3,1,73.0,60.0,55.0,61.0,34.0,50.0,63,61,55,57,60,57,56
T. Ángel,"ST, CF",60,77,625000.0,5.795880017344075,2023.0,2.0,18,3,1,78.0,58.0,54.0,61.0,17.0,57.0,60,58,57,54,55,55,58
F. Tongya,"CAM, ST",60,74,575000.0,5.7596678446896306,2025.0,4.0,19,3,1,70.0,48.0,64.0,59.0,37.0,61.0,43,57,49,54,48,60,55
J. Duin,ST,60,67,500000.0,5.698970004336019,2024.0,3.0,22,3,1,44.0,63.0,46.0,55.0,26.0,67.0,64,68,58,66,56,52,60
M. Kosidis,ST,60,72,600000.0,5.778151250383644,2026.0,5.0,19,3,1,66.0,60.0,47.0,58.0,23.0,65.0,64,60,56,63,51,62,57
A. Rodríguez,ST,60,66,400000.0,5.6020599913279625,2021.0,0.0,23,2,1,58.0,61.0,38.0,60.0,17.0,55.0,68,56,53,55,55,65,60
M. Mamaní,ST,60,74,600000.0,5.778151250383644,2024.0,3.0,19,3,1,59.0,63.0,49.0,64.0,23.0,38.0,66,60,57,59,63,63,59
O. Blanco,ST,60,60,210000.0,5.3222192947339195,2021.0,0.0,31,3,1,66.0,58.0,44.0,64.0,22.0,63.0,61,62,41,57,56,61,59
N. Chadli,"RM, ST",60,74,575000.0,5.7596678446896306,2024.0,3.0,19,2,1,67.0,59.0,54.0,68.0,22.0,51.0,61,52,56,60,55,69,51
P. Gallardo,ST,60,68,550000.0,5.740362689494244,2021.0,0.0,20,3,1,66.0,64.0,46.0,62.0,21.0,54.0,67,53,63,65,61,60,53
R. Chacón,ST,60,69,550000.0,5.740362689494244,2025.0,4.0,23,2,1,53.0,62.0,42.0,56.0,29.0,66.0,67,69,55,60,60,58,53
B. Alcócer,"ST, RW",60,74,575000.0,5.7596678446896306,2024.0,3.0,17,3,1,71.0,56.0,49.0,63.0,23.0,58.0,58,55,51,56,53,59,57
H. Sandoval,ST,60,68,550000.0,5.740362689494244,2021.0,0.0,21,3,1,56.0,64.0,44.0,53.0,23.0,63.0,65,63,58,68,60,55,55
A. Hountondji,"LM, ST",60,77,625000.0,5.795880017344075,2024.0,3.0,18,3,1,68.0,56.0,52.0,61.0,19.0,55.0,58,61,45,58,52,63,61
K. Fidelis,"LW, ST",60,67,500000.0,5.698970004336019,2022.0,1.0,22,3,1,68.0,67.0,51.0,65.0,24.0,50.0,70,57,65,69,63,60,50
A. Miller,"RM, LM, ST",60,79,625000.0,5.795880017344075,2025.0,4.0,18,3,1,82.0,55.0,48.0,60.0,31.0,47.0,59,34,47,58,42,57,55
C. Emeka,ST,60,71,525000.0,5.720159303405957,2022.0,1.0,19,3,1,76.0,60.0,42.0,54.0,21.0,65.0,61,60,48,71,53,58,56
D. Jebbison,ST,60,76,625000.0,5.795880017344075,2022.0,1.0,17,2,1,72.0,59.0,49.0,55.0,30.0,62.0,62,60,53,60,51,62,60
Q. Dumay,"ST, LW",60,67,500000.0,5.698970004336019,2022.0,1.0,20,3,1,62.0,62.0,53.0,66.0,31.0,51.0,66,37,54,63,54,66,65
Falcão,ST,60,66,400000.0,5.6020599913279625,2022.0,1.0,21,3,1,80.0,59.0,50.0,63.0,18.0,58.0,63,52,53,58,54,59,55
K. Hovi,ST,60,61,300000.0,5.477121254719663,2022.0,1.0,27,2,1,66.0,60.0,52.0,57.0,25.0,66.0,64,65,45,60,57,55,56
L. Mikić,"ST, LM",60,65,375000.0,5.574031267727719,2025.0,4.0,24,3,1,74.0,60.0,48.0,60.0,24.0,55.0,64,57,47,62,52,58,57
D. Touré,ST,60,83,775000.0,5.889301702506311,2026.0,5.0,18,4,1,87.0,62.0,43.0,65.0,17.0,38.0,66,46,60,63,52,65,52
L. Nordås,ST,60,75,600000.0,5.778151250383644,2024.0,3.0,19,3,1,68.0,58.0,43.0,59.0,25.0,67.0,61,58,40,58,55,58,60
J. Iredale,ST,60,70,550000.0,5.740362689494244,2022.0,1.0,21,3,1,55.0,62.0,45.0,58.0,21.0,57.0,63,58,49,71,52,63,62
Valdir,ST,60,68,550000.0,5.740362689494244,2023.0,2.0,23,3,1,84.0,59.0,43.0,65.0,21.0,48.0,63,55,53,59,53,62,59
B. Mikeltadze,ST,60,66,400000.0,5.6020599913279625,2023.0,2.0,23,4,1,73.0,60.0,48.0,65.0,20.0,58.0,69,58,43,58,48,66,53
F. Torres,ST,60,67,500000.0,5.698970004336019,2023.0,2.0,22,3,1,56.0,62.0,47.0,59.0,22.0,47.0,66,68,51,59,56,63,62
T. Çukur,ST,60,75,575000.0,5.7596678446896306,2022.0,1.0,18,2,1,58.0,60.0,50.0,57.0,26.0,70.0,59,60,52,66,56,57,59
R. Márquez,ST,60,75,575000.0,5.7596678446896306,2023.0,2.0,18,3,1,71.0,62.0,45.0,61.0,24.0,49.0,66,56,44,60,59,61,60
Iván Romero,"ST, RW, LW",60,71,550000.0,5.740362689494244,2024.0,3.0,20,3,1,69.0,58.0,43.0,59.0,22.0,53.0,62,59,50,55,53,56,63
T. Noslin,ST,60,66,400000.0,5.6020599913279625,2024.0,3.0,21,3,1,74.0,60.0,45.0,62.0,20.0,50.0,62,58,47,60,58,61,58
M. Cuni,ST,60,70,525000.0,5.720159303405957,2024.0,3.0,19,3,1,54.0,62.0,49.0,56.0,20.0,62.0,64,63,37,68,60,59,56
M. Divkovic,ST,60,68,550000.0,5.740362689494244,2024.0,3.0,22,2,1,75.0,59.0,44.0,62.0,20.0,51.0,62,50,48,60,54,62,60
N. Koffi,ST,60,75,600000.0,5.778151250383644,2022.0,1.0,19,2,1,74.0,64.0,50.0,62.0,22.0,49.0,66,48,59,68,58,59,48
G. Larios,"RW, LW, ST",60,70,525000.0,5.720159303405957,2023.0,2.0,19,3,1,69.0,61.0,58.0,59.0,45.0,53.0,65,51,59,59,55,58,51
C. Anene,ST,59,59,230000.0,5.361727836017593,2021.0,0.0,28,3,1,56.0,57.0,50.0,56.0,28.0,63.0,58,60,62,66,51,56,55
M. Cullen,ST,59,59,220000.0,5.342422680822207,2022.0,1.0,29,2,1,69.0,58.0,51.0,59.0,39.0,65.0,60,61,57,58,55,57,61
L. McAlinden,ST,59,59,240000.0,5.380211241711606,2023.0,2.0,27,2,1,71.0,58.0,45.0,58.0,20.0,64.0,59,58,57,59,56,58,58
A. Amadi-Holloway,ST,59,59,230000.0,5.361727836017593,2022.0,1.0,28,3,1,70.0,56.0,48.0,60.0,46.0,72.0,58,61,42,61,49,61,56
C. Lyons,ST,59,59,230000.0,5.361727836017593,2021.0,0.0,28,3,1,78.0,59.0,44.0,60.0,38.0,60.0,65,49,52,57,52,58,57
T. Sho-Silva,ST,59,61,275000.0,5.439332693830263,2022.0,1.0,26,2,1,76.0,56.0,43.0,58.0,24.0,69.0,58,57,53,57,51,58,57
Kong Min Hyeon,"LW, ST",59,59,190000.0,5.278753600952829,2022.0,1.0,31,3,1,72.0,57.0,47.0,60.0,20.0,59.0,58,58,44,57,58,58,61
W. Figueira,"LM, ST",59,60,275000.0,5.439332693830263,2021.0,0.0,26,2,1,69.0,57.0,52.0,58.0,30.0,69.0,58,56,53,59,53,58,60
Jeong Chung Geun,ST,59,62,300000.0,5.477121254719663,2022.0,1.0,25,3,1,69.0,60.0,47.0,58.0,24.0,51.0,65,66,62,54,57,60,53
C. Duffus,ST,59,64,325000.0,5.511883360978874,2023.0,2.0,25,2,1,69.0,58.0,49.0,57.0,28.0,65.0,59,58,55,61,55,58,58
C. Baker-Richardson,ST,59,64,325000.0,5.511883360978874,2022.0,1.0,25,3,1,66.0,57.0,39.0,53.0,19.0,57.0,61,58,47,63,42,58,64
J. Sotirio,"RM, ST",59,60,275000.0,5.439332693830263,2022.0,1.0,25,2,1,90.0,52.0,52.0,55.0,43.0,71.0,52,50,37,55,52,49,48
A. Fisher,ST,59,59,190000.0,5.278753600952829,2022.0,1.0,31,3,1,64.0,57.0,46.0,56.0,23.0,69.0,59,60,45,60,50,59,58
D. Pecirep,ST,59,59,220000.0,5.342422680822207,2022.0,1.0,29,3,1,64.0,57.0,40.0,55.0,24.0,65.0,59,63,53,63,48,55,57
G. Blackwood,"ST, CAM",59,65,350000.0,5.544068044350276,2023.0,2.0,24,2,1,62.0,58.0,51.0,58.0,44.0,66.0,60,55,49,63,52,59,61
Cao Yongjing,"CAM, LM, ST",59,65,350000.0,5.544068044350276,2023.0,2.0,24,3,1,76.0,53.0,53.0,61.0,56.0,70.0,52,52,49,54,55,59,58
M. Abu Shararah,"ST, RM",59,59,220000.0,5.342422680822207,2026.0,5.0,30,3,1,72.0,59.0,49.0,58.0,20.0,64.0,60,58,53,62,56,54,57
R. Pyke,"ST, RM",59,65,350000.0,5.544068044350276,2023.0,2.0,23,3,1,77.0,55.0,42.0,62.0,30.0,59.0,59,52,40,54,51,62,61
O. Olomola,ST,59,64,350000.0,5.544068044350276,2023.0,2.0,23,3,1,72.0,57.0,45.0,61.0,25.0,72.0,60,58,50,59,51,62,57
Guo Tianyu,ST,59,70,500000.0,5.698970004336019,2022.0,1.0,22,2,1,58.0,57.0,42.0,55.0,36.0,70.0,60,63,45,61,52,57,58
J. Ponticelli,ST,59,66,450000.0,5.653212513775344,2022.0,1.0,22,3,1,77.0,57.0,44.0,58.0,25.0,62.0,59,54,51,56,53,57,59
D. Ríos,ST,59,62,300000.0,5.477121254719663,2022.0,1.0,26,3,1,44.0,64.0,43.0,57.0,25.0,62.0,68,64,62,63,64,62,54
M. Doyle,"LM, LW, ST",59,66,450000.0,5.653212513775344,2021.0,0.0,22,2,1,71.0,57.0,51.0,60.0,31.0,63.0,60,56,53,58,49,59,55
G. Lloyd,ST,59,72,550000.0,5.740362689494244,2022.0,1.0,21,2,1,80.0,55.0,50.0,62.0,25.0,71.0,58,50,53,51,52,58,62
S. Rentería,ST,59,67,500000.0,5.698970004336019,2024.0,3.0,23,2,1,74.0,61.0,43.0,63.0,26.0,46.0,65,60,63,53,63,57,55
D. Angus,ST,59,60,275000.0,5.439332693830263,2022.0,1.0,27,3,1,77.0,56.0,46.0,58.0,23.0,66.0,58,55,52,58,52,56,59
C. McBride,"ST, LW",59,74,550000.0,5.740362689494244,2022.0,1.0,20,3,1,70.0,61.0,50.0,62.0,20.0,46.0,63,51,55,62,57,61,58
H. Camara,ST,59,68,500000.0,5.698970004336019,2024.0,3.0,23,3,1,72.0,57.0,48.0,57.0,21.0,64.0,59,53,52,58,53,53,61
M. Jørgensen,"ST, CF",59,72,550000.0,5.740362689494244,2021.0,0.0,20,3,1,82.0,59.0,44.0,60.0,28.0,58.0,60,51,52,61,55,59,58
R. Edmondson,ST,59,76,600000.0,5.778151250383644,2022.0,1.0,20,4,1,57.0,59.0,38.0,54.0,26.0,73.0,61,61,43,64,53,58,59
K. Yakob,ST,59,69,500000.0,5.698970004336019,2022.0,1.0,20,3,1,68.0,55.0,49.0,59.0,45.0,63.0,62,56,38,58,44,62,63
E. Kamsoba,"LM, ST",59,62,300000.0,5.477121254719663,2023.0,2.0,25,4,1,90.0,48.0,47.0,60.0,21.0,42.0,46,31,45,53,49,54,55
R. Parkes,"ST, LW, LM",59,59,220000.0,5.342422680822207,2021.0,0.0,30,3,1,87.0,57.0,49.0,53.0,18.0,74.0,59,56,53,61,51,53,56
L. N'Diaye,ST,59,74,550000.0,5.740362689494244,2023.0,2.0,20,3,1,81.0,59.0,43.0,56.0,19.0,56.0,60,55,45,60,59,52,52
E. Zubak,ST,59,67,500000.0,5.698970004336019,2021.0,0.0,23,3,1,54.0,59.0,44.0,58.0,19.0,67.0,60,59,54,61,53,60,61
Y. Omar,ST,59,60,275000.0,5.439332693830263,2024.0,3.0,27,2,1,75.0,57.0,46.0,59.0,24.0,75.0,58,59,53,59,52,61,54
A. Roczen,ST,59,69,500000.0,5.698970004336019,2022.0,1.0,21,2,1,64.0,57.0,44.0,54.0,35.0,69.0,60,61,51,57,51,59,60
Patrick Luan,ST,59,70,500000.0,5.698970004336019,2021.0,0.0,22,4,1,70.0,60.0,48.0,62.0,18.0,58.0,64,55,50,62,57,55,51
B. Rusu,"ST, CAM",59,59,190000.0,5.278753600952829,2022.0,1.0,31,3,1,68.0,62.0,43.0,49.0,31.0,64.0,68,59,58,62,52,43,53
M. Al Sahli,"ST, LM",59,59,220000.0,5.342422680822207,2023.0,2.0,29,3,1,78.0,56.0,53.0,63.0,39.0,54.0,59,55,54,55,50,59,62
P. Zdybowicz,ST,59,68,500000.0,5.698970004336019,2023.0,2.0,21,3,1,72.0,58.0,48.0,56.0,18.0,53.0,63,61,35,58,52,58,56
S. Arce,ST,59,73,550000.0,5.740362689494244,2025.0,4.0,19,2,1,73.0,54.0,54.0,58.0,37.0,56.0,61,62,45,55,42,61,56
D. Martínez,ST,59,66,450000.0,5.653212513775344,2021.0,0.0,24,2,1,72.0,58.0,50.0,58.0,19.0,56.0,60,50,53,58,53,58,59
A. Okoflex,"LM, ST, CAM",59,78,575000.0,5.7596678446896306,2023.0,2.0,19,3,1,77.0,57.0,50.0,66.0,25.0,52.0,56,51,42,63,57,64,54
M. Iloski,ST,59,68,500000.0,5.698970004336019,2021.0,0.0,21,3,1,78.0,57.0,42.0,63.0,20.0,52.0,62,51,46,54,52,64,59
J. Mumbongo,ST,59,68,500000.0,5.698970004336019,2022.0,1.0,22,3,1,75.0,60.0,45.0,53.0,21.0,65.0,60,54,57,64,57,55,58
I. Someno,"RM, ST",59,73,525000.0,5.720159303405957,2022.0,1.0,19,4,1,70.0,61.0,60.0,54.0,25.0,55.0,62,59,59,62,60,58,57
A. Johansson,"LM, ST",59,62,300000.0,5.477121254719663,2021.0,0.0,25,2,1,66.0,54.0,52.0,58.0,30.0,60.0,61,55,37,53,43,60,57
M. Hyllegaard,ST,59,66,450000.0,5.653212513775344,2022.0,1.0,22,3,1,90.0,58.0,45.0,58.0,21.0,51.0,62,55,46,55,53,59,54
J. Vernaza,"LM, ST",59,71,525000.0,5.720159303405957,2025.0,4.0,19,3,1,69.0,52.0,53.0,57.0,31.0,59.0,60,31,40,48,41,59,58
S. Stehle,"RW, ST",59,74,525000.0,5.720159303405957,2022.0,1.0,19,3,1,91.0,53.0,46.0,58.0,28.0,52.0,61,46,44,47,44,55,54
M. Fenger,ST,59,71,550000.0,5.740362689494244,2022.0,1.0,19,3,1,67.0,56.0,46.0,59.0,19.0,64.0,59,59,45,55,51,60,58
G. Cangiano,"LW, ST",59,75,575000.0,5.7596678446896306,2024.0,3.0,19,3,1,67.0,56.0,54.0,65.0,29.0,43.0,57,47,50,65,47,67,53
J. Carrillo,"ST, CAM",59,71,550000.0,5.740362689494244,2025.0,4.0,19,4,1,67.0,58.0,49.0,60.0,31.0,54.0,55,62,70,70,55,55,52
T. Owolabi,ST,59,61,275000.0,5.439332693830263,2021.0,0.0,25,3,1,86.0,58.0,41.0,59.0,34.0,67.0,59,48,53,59,54,55,61
D. Min,ST,59,68,500000.0,5.698970004336019,2023.0,2.0,22,3,1,52.0,61.0,49.0,50.0,25.0,64.0,66,68,47,58,54,58,56
A. Foley,ST,59,59,190000.0,5.278753600952829,2021.0,0.0,31,3,1,70.0,55.0,49.0,54.0,40.0,68.0,60,52,33,61,45,56,60
B. Traorè,"LB, ST",59,65,325000.0,5.511883360978874,2022.0,1.0,23,4,1,78.0,59.0,56.0,60.0,50.0,62.0,63,56,42,55,58,55,58
V. Nikolov,ST,59,71,550000.0,5.740362689494244,2023.0,2.0,20,3,1,56.0,58.0,42.0,52.0,28.0,68.0,60,65,55,60,52,57,59
T. Corbeanu,"RW, ST",59,75,575000.0,5.7596678446896306,2022.0,1.0,19,5,1,75.0,55.0,54.0,61.0,24.0,60.0,54,49,50,61,52,60,55
Y. Alounga,"ST, LM, RM",59,74,550000.0,5.740362689494244,2024.0,3.0,19,3,1,65.0,57.0,53.0,57.0,43.0,63.0,58,61,51,56,55,59,56
Y. Gomes,ST,59,74,525000.0,5.720159303405957,2022.0,1.0,18,3,1,65.0,61.0,46.0,61.0,19.0,45.0,63,46,50,63,57,61,62
C. Offor,"ST, LM",59,73,550000.0,5.740362689494244,2023.0,2.0,21,3,1,70.0,54.0,47.0,61.0,18.0,65.0,60,59,40,57,42,60,58
S. Bell,"ST, LW",59,75,575000.0,5.7596678446896306,2024.0,3.0,19,3,1,73.0,56.0,41.0,60.0,20.0,57.0,60,58,43,56,47,59,59
S. Karim,ST,59,59,220000.0,5.342422680822207,2022.0,1.0,29,3,1,68.0,58.0,48.0,59.0,26.0,59.0,58,58,49,59,57,61,59
M. Haygarth,"RW, CAM, ST",59,75,575000.0,5.7596678446896306,2022.0,1.0,19,4,1,72.0,53.0,52.0,63.0,28.0,46.0,56,37,47,51,51,61,53
A. Olusanya,"ST, LW",59,68,500000.0,5.698970004336019,2022.0,1.0,21,4,1,71.0,57.0,48.0,59.0,20.0,58.0,60,62,41,57,53,58,58
M. Niang,ST,59,77,575000.0,5.7596678446896306,2023.0,2.0,19,3,1,75.0,59.0,40.0,55.0,18.0,55.0,61,55,48,58,56,54,57
A. Hackford,ST,59,84,700000.0,5.845098040014257,2022.0,1.0,17,3,1,86.0,59.0,38.0,60.0,18.0,44.0,62,39,53,60,50,59,64
John Patrick,"CAM, ST, CM",59,78,550000.0,5.740362689494244,2022.0,1.0,17,3,1,69.0,56.0,48.0,58.0,20.0,57.0,58,55,50,52,55,57,64
S. Ibrahim,"ST, RW",59,75,575000.0,5.7596678446896306,2023.0,2.0,18,2,1,83.0,57.0,53.0,60.0,23.0,61.0,56,52,49,69,52,55,51
V. Angelov,"ST, LW",59,60,275000.0,5.439332693830263,2022.0,1.0,27,3,1,69.0,58.0,49.0,58.0,24.0,55.0,58,60,57,62,53,59,58
L. Hartwig,ST,59,79,625000.0,5.795880017344075,2024.0,3.0,18,4,1,77.0,62.0,47.0,54.0,21.0,48.0,67,62,49,55,59,53,58
C. Gomez,ST,59,70,500000.0,5.698970004336019,2025.0,4.0,20,2,1,75.0,63.0,44.0,64.0,17.0,43.0,66,41,48,60,65,62,60
J. Casimir,ST,59,71,550000.0,5.740362689494244,2023.0,2.0,19,3,1,80.0,58.0,46.0,58.0,23.0,56.0,61,57,50,59,53,55,57
T. Conway,ST,59,76,575000.0,5.7596678446896306,2024.0,3.0,18,3,1,80.0,56.0,41.0,59.0,20.0,48.0,59,58,44,54,54,60,56
E. Kizza,ST,59,68,500000.0,5.698970004336019,2021.0,0.0,22,3,1,62.0,61.0,44.0,54.0,29.0,69.0,66,62,53,55,57,50,59
D. Mebude,ST,59,75,575000.0,5.7596678446896306,2022.0,1.0,19,3,1,82.0,57.0,45.0,61.0,22.0,59.0,59,52,53,57,54,57,58
L. Lobinger,ST,59,68,500000.0,5.698970004336019,2023.0,2.0,22,2,1,55.0,57.0,42.0,51.0,28.0,67.0,60,64,53,65,43,57,58
K. Śpiewak,"ST, CB",59,68,500000.0,5.698970004336019,2024.0,3.0,21,2,1,57.0,59.0,40.0,55.0,55.0,65.0,62,64,45,61,51,56,59
D. Paraschiv,"ST, LW",59,65,375000.0,5.574031267727719,2022.0,1.0,22,2,1,65.0,59.0,48.0,55.0,21.0,62.0,58,66,51,65,60,56,60
T. Bornemann,ST,59,69,500000.0,5.698970004336019,2023.0,2.0,20,3,1,74.0,57.0,43.0,60.0,23.0,61.0,59,52,55,60,52,56,57
F. Lakenmacher,ST,59,67,500000.0,5.698970004336019,2022.0,1.0,21,2,1,60.0,62.0,46.0,58.0,20.0,63.0,64,57,54,63,60,63,59
T. Bierschenk,ST,59,70,475000.0,5.676693609624866,2023.0,2.0,18,3,1,63.0,60.0,44.0,56.0,36.0,67.0,60,58,54,64,58,61,60
F. Galván,ST,59,68,500000.0,5.698970004336019,2023.0,2.0,21,2,1,56.0,57.0,46.0,58.0,26.0,62.0,59,65,56,63,47,59,60
R. Adigo,"RM, RWB, ST",59,74,550000.0,5.740362689494244,2023.0,2.0,20,2,1,76.0,52.0,47.0,65.0,34.0,58.0,56,44,35,60,39,62,54
Josema,"ST, CF",59,72,550000.0,5.740362689494244,2022.0,1.0,21,4,1,62.0,60.0,44.0,58.0,24.0,50.0,61,60,51,61,57,54,61
A. Garza,ST,59,71,550000.0,5.740362689494244,2025.0,4.0,20,3,1,58.0,60.0,40.0,56.0,28.0,59.0,65,70,54,62,49,59,53
Óscar González,ST,59,71,550000.0,5.740362689494244,2022.0,1.0,21,3,1,54.0,63.0,43.0,57.0,21.0,49.0,65,70,48,61,63,56,56
B. Barcia,"CAM, ST",59,73,550000.0,5.740362689494244,2025.0,4.0,20,3,1,72.0,52.0,58.0,55.0,35.0,49.0,53,52,39,49,56,61,56
J. Malcolm,ST,59,77,575000.0,5.7596678446896306,2022.0,1.0,18,3,1,84.0,58.0,36.0,56.0,22.0,64.0,60,53,52,66,49,53,55
J. González,"RW, ST",59,69,475000.0,5.676693609624866,2023.0,2.0,19,3,1,71.0,56.0,56.0,57.0,47.0,59.0,55,55,55,61,50,55,61
I. Lidberg,ST,58,67,450000.0,5.653212513775344,2023.0,2.0,22,3,1,72.0,55.0,46.0,52.0,36.0,72.0,58,62,53,59,46,55,58
Jeong Chi In,"ST, LW",58,65,400000.0,5.6020599913279625,2021.0,0.0,23,3,1,64.0,57.0,44.0,58.0,26.0,59.0,56,59,40,63,55,57,63
R. Harker,ST,58,69,450000.0,5.653212513775344,2022.0,1.0,21,3,1,66.0,58.0,41.0,57.0,27.0,53.0,59,57,49,62,53,57,55
A. Al Aryani,"RW, ST",58,61,275000.0,5.439332693830263,2022.0,1.0,25,3,1,73.0,57.0,44.0,61.0,32.0,58.0,62,51,43,53,49,60,59
I. Pandita,ST,58,65,400000.0,5.6020599913279625,2023.0,2.0,23,3,1,71.0,57.0,48.0,55.0,23.0,62.0,58,55,56,54,56,56,60
F. Al Birekan,ST,58,72,500000.0,5.698970004336019,2025.0,4.0,21,3,1,70.0,57.0,40.0,55.0,22.0,56.0,60,58,58,60,45,60,54
N. Awuku,"RW, ST",58,67,450000.0,5.653212513775344,2023.0,2.0,21,3,1,70.0,55.0,47.0,60.0,24.0,60.0,61,53,41,55,46,59,57
B. Folami,"ST, LM",58,69,450000.0,5.653212513775344,2023.0,2.0,22,4,1,77.0,55.0,47.0,63.0,21.0,51.0,60,55,36,50,51,62,54
J. Greenidge,ST,58,68,450000.0,5.653212513775344,2022.0,1.0,21,3,1,57.0,57.0,44.0,53.0,31.0,65.0,59,65,57,61,49,57,57
J. Grodowski,ST,58,66,450000.0,5.653212513775344,2023.0,2.0,23,3,1,65.0,59.0,43.0,54.0,23.0,57.0,61,53,55,62,50,55,58
S. Ben Amar,ST,58,67,450000.0,5.653212513775344,2021.0,0.0,23,3,1,61.0,56.0,44.0,55.0,27.0,55.0,58,59,55,58,49,55,58
T. O'Neill,ST,58,70,500000.0,5.698970004336019,2023.0,2.0,21,3,1,63.0,59.0,44.0,54.0,20.0,65.0,60,57,54,61,55,54,57
